state_id,policy,expected_saved_cost,materialization_cost,storage_cost,movement_cost,contention_cost,reason,baseline
S_task,replicate,12016.0,20.0,10.24,20.48,25.6,small hot state with broad fanout,flat_sequential
S_document,replicate,6012.0,16.0,10.24,20.48,20.48,small hot state with broad fanout,flat_sequential
S_rubric,replicate,12016.0,20.0,10.24,20.48,25.6,small hot state with broad fanout,flat_sequential
S_tool_schema,inline,0.0,4.0,10.24,20.48,0.0,low fanout or low hotness,flat_sequential
S_unique_expert_0,inline,0.0,1.78,4.5568,9.1136,2.2784,low fanout or low hotness,flat_sequential
S_expert_0_summary,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,flat_sequential
S_unique_expert_1,inline,0.0,1.584,4.05504,8.11008,2.02752,low fanout or low hotness,flat_sequential
S_expert_1_summary,inline,0.0,1.1400000000000001,2.9184,5.8368,1.4592,low fanout or low hotness,flat_sequential
S_unique_expert_2,inline,0.0,1.6320000000000001,4.17792,8.35584,2.08896,low fanout or low hotness,flat_sequential
S_expert_2_summary,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,flat_sequential
S_unique_expert_3,inline,0.0,1.236,3.1641600000000003,6.328320000000001,1.5820800000000002,low fanout or low hotness,flat_sequential
S_expert_3_summary,inline,0.0,0.868,2.22208,4.44416,1.11104,low fanout or low hotness,flat_sequential
S_final_summary,inline,0.0,1.004,2.57024,5.14048,0.0,low fanout or low hotness,flat_sequential
S_task,replicate,12016.0,20.0,10.24,20.48,25.6,small hot state with broad fanout,request_parallel_gpu_like
S_document,replicate,6012.0,16.0,10.24,20.48,20.48,small hot state with broad fanout,request_parallel_gpu_like
S_rubric,replicate,12016.0,20.0,10.24,20.48,25.6,small hot state with broad fanout,request_parallel_gpu_like
S_tool_schema,inline,0.0,4.0,10.24,20.48,0.0,low fanout or low hotness,request_parallel_gpu_like
S_unique_expert_0,inline,0.0,1.78,4.5568,9.1136,2.2784,low fanout or low hotness,request_parallel_gpu_like
S_expert_0_summary,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,request_parallel_gpu_like
S_unique_expert_1,inline,0.0,1.584,4.05504,8.11008,2.02752,low fanout or low hotness,request_parallel_gpu_like
S_expert_1_summary,inline,0.0,1.1400000000000001,2.9184,5.8368,1.4592,low fanout or low hotness,request_parallel_gpu_like
S_unique_expert_2,inline,0.0,1.6320000000000001,4.17792,8.35584,2.08896,low fanout or low hotness,request_parallel_gpu_like
S_expert_2_summary,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,request_parallel_gpu_like
S_unique_expert_3,inline,0.0,1.236,3.1641600000000003,6.328320000000001,1.5820800000000002,low fanout or low hotness,request_parallel_gpu_like
S_expert_3_summary,inline,0.0,0.868,2.22208,4.44416,1.11104,low fanout or low hotness,request_parallel_gpu_like
S_final_summary,inline,0.0,1.004,2.57024,5.14048,0.0,low fanout or low hotness,request_parallel_gpu_like
S_task,replicate,12016.0,20.0,10.24,20.48,25.6,small hot state with broad fanout,prefix_cache_like
S_document,replicate,6012.0,16.0,10.24,20.48,20.48,small hot state with broad fanout,prefix_cache_like
S_rubric,replicate,12016.0,20.0,10.24,20.48,25.6,small hot state with broad fanout,prefix_cache_like
S_tool_schema,inline,0.0,4.0,10.24,20.48,0.0,low fanout or low hotness,prefix_cache_like
S_unique_expert_0,inline,0.0,1.78,4.5568,9.1136,2.2784,low fanout or low hotness,prefix_cache_like
S_expert_0_summary,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,prefix_cache_like
S_unique_expert_1,inline,0.0,1.584,4.05504,8.11008,2.02752,low fanout or low hotness,prefix_cache_like
S_expert_1_summary,inline,0.0,1.1400000000000001,2.9184,5.8368,1.4592,low fanout or low hotness,prefix_cache_like
S_unique_expert_2,inline,0.0,1.6320000000000001,4.17792,8.35584,2.08896,low fanout or low hotness,prefix_cache_like
S_expert_2_summary,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,prefix_cache_like
S_unique_expert_3,inline,0.0,1.236,3.1641600000000003,6.328320000000001,1.5820800000000002,low fanout or low hotness,prefix_cache_like
S_expert_3_summary,inline,0.0,0.868,2.22208,4.44416,1.11104,low fanout or low hotness,prefix_cache_like
S_final_summary,inline,0.0,1.004,2.57024,5.14048,0.0,low fanout or low hotness,prefix_cache_like
S_task,replicate,12016.0,20.0,10.24,20.48,25.6,small hot state with broad fanout,helium_like_operator_schedule
S_document,replicate,6012.0,16.0,10.24,20.48,20.48,small hot state with broad fanout,helium_like_operator_schedule
