mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_result_payload_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_hotspot_ratio,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,agents,decode_tokens
Central-KV-Stationary,,32768,4294967296,1,256,,,4328521728.0,4294967296.0,1099511627776,33554432,50855936.0,711983104.0,34078720.0,25427968.0,0.000358708,0.084359739,0.084359739,0.084718447,0.084718447,0.084718447,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.084718447,0.084718447,0.084718447,0.000358708,0.084359739,4.03125,4.0,1024.03125,0.04736328125,0.0006475448608398438,0.03173828125,1.3402061855670102,"(7,7)->(6,7)",,,,,1099511627776,16777216,34078720,35184372088832.0,16777216,34078720,34078720.0,1.3402061855670102,35184372088832.0,0.084359739,0.084718447,16777216,34078720,,,,,,,,,,,,,,,,,,,,,,,,,,"query bytes in, exact FP32 online-softmax state out","""""",,"""""","""""","""""","""""",8,256,,,,,,1,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,1,256,8,selected_ring_reduce,4328521728.0,570425344.0,1099511627776,33554432,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0062531,2.4707e-05,0.0062531,0.001515474,0.00644765,4.03125,0.53125,1028.015625,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.000340928,0.00019455,3.1e-06,306708480.0,1908408320.0,1908408320.0,1879048192.0,1908408320.0,0.0,14336,56,8,140,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,serpentine,8,False,not_modeled_for_performance,1,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,1,256,8,binary_tree_reduce,4328521728.0,570425344.0,1099511627776,33554432,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0062531,2.4647e-05,0.0062531,0.002196988,0.00644765,4.03125,0.53125,1028.015625,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.001022442,0.00019455,3.1e-06,272629760.0,1635778560.0,1635778560.0,1879048192.0,1635778560.0,0.0,12288,40,3,80,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,serpentine,8,False,not_modeled_for_performance,1,256
Central-KV-Stationary,,32768,4294967296,2,256,,,4362076160.0,4294967296.0,1099511627776,67108864,50855936.0,711983104.0,34078720.0,25427968.0,0.000358708,0.084359739,0.084359739,0.084718447,0.084718447,0.084718447,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.084718447,0.084718447,0.084718447,0.000358708,0.084359739,4.0625,4.0,1024.0625,0.04736328125,0.0006475448608398438,0.03173828125,1.3402061855670102,"(7,7)->(6,7)",,,,,1099511627776,16777216,34078720,35184372088832.0,16777216,34078720,34078720.0,1.3402061855670102,35184372088832.0,0.084359739,0.084718447,16777216,34078720,,,,,,,,,,,,,,,,,,,,,,,,,,"query bytes in, exact FP32 online-softmax state out","""""",,"""""","""""","""""","""""",8,256,,,,,,2,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,2,256,8,selected_ring_reduce,4362076160.0,570425344.0,1099511627776,67108864,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0062531,2.4707e-05,0.0062531,0.001515474,0.00644765,4.0625,0.53125,1032.03125,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.000340928,0.00019455,3.1e-06,306708480.0,1908408320.0,1908408320.0,1879048192.0,1908408320.0,0.0,14336,56,8,140,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,serpentine,8,False,not_modeled_for_performance,2,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,2,256,8,binary_tree_reduce,4362076160.0,570425344.0,1099511627776,67108864,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0062531,2.4647e-05,0.0062531,0.002196988,0.00644765,4.0625,0.53125,1032.03125,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.001022442,0.00019455,3.1e-06,272629760.0,1635778560.0,1635778560.0,1879048192.0,1635778560.0,0.0,12288,40,3,80,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,serpentine,8,False,not_modeled_for_performance,2,256
Central-KV-Stationary,,32768,4294967296,4,256,,,4429185024.0,4294967296.0,1099511627776,134217728,50855936.0,711983104.0,34078720.0,25427968.0,0.000358708,0.084359739,0.084359739,0.084718447,0.084718447,0.084718447,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.084718447,0.084718447,0.084718447,0.000358708,0.084359739,4.125,4.0,1024.125,0.04736328125,0.0006475448608398438,0.03173828125,1.3402061855670102,"(7,7)->(6,7)",,,,,1099511627776,16777216,34078720,35184372088832.0,16777216,34078720,34078720.0,1.3402061855670102,35184372088832.0,0.084359739,0.084718447,16777216,34078720,,,,,,,,,,,,,,,,,,,,,,,,,,"query bytes in, exact FP32 online-softmax state out","""""",,"""""","""""","""""","""""",8,256,,,,,,4,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,4,256,8,selected_ring_reduce,4429185024.0,570425344.0,1099511627776,134217728,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0062531,2.4707e-05,0.0062531,0.001515474,0.00644765,4.125,0.53125,1040.0625,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.000340928,0.00019455,3.1e-06,306708480.0,1908408320.0,1908408320.0,1879048192.0,1908408320.0,0.0,14336,56,8,140,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,serpentine,8,False,not_modeled_for_performance,4,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,4,256,8,binary_tree_reduce,4429185024.0,570425344.0,1099511627776,134217728,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0062531,2.4647e-05,0.0062531,0.002196988,0.00644765,4.125,0.53125,1040.0625,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.001022442,0.00019455,3.1e-06,272629760.0,1635778560.0,1635778560.0,1879048192.0,1635778560.0,0.0,12288,40,3,80,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,serpentine,8,False,not_modeled_for_performance,4,256
Central-KV-Stationary,,32768,4294967296,8,256,,,4563402752.0,4294967296.0,1099511627776,268435456,50855936.0,711983104.0,34078720.0,25427968.0,0.000358708,0.084359739,0.084359739,0.084718447,0.084718447,0.084718447,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.084718447,0.084718447,0.084718447,0.000358708,0.084359739,4.25,4.0,1024.25,0.04736328125,0.0006475448608398438,0.03173828125,1.3402061855670102,"(7,7)->(6,7)",,,,,1099511627776,16777216,34078720,35184372088832.0,16777216,34078720,34078720.0,1.3402061855670102,35184372088832.0,0.084359739,0.084718447,16777216,34078720,,,,,,,,,,,,,,,,,,,,,,,,,,"query bytes in, exact FP32 online-softmax state out","""""",,"""""","""""","""""","""""",8,256,,,,,,8,256
