policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
lru-system,none,none,1,0.25,718733000,,,5.787962984863642e-07,330694,37224448,1,1,159,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24290280041759005,0.9996434937611408,196654000,0,0,0,0,0,0,0,1560,1244,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 3, ""system_prefix"": 1, ""task_prefix"": 1, ""test_failure_summary"": 1, ""tool_observation"": 1}",1.0,False
kvflow-like,none,none,1,0.25,726316000,,,5.72753457172911e-07,390516,31401181184,1287,1,159,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.1059451638308394,0.5411764705882353,211285000,0,0,0,0,0,0,0,1112,406,"{""agent_role"": 7, ""system_prefix"": 7, ""task_prefix"": 7, ""test_failure_summary"": 1}",-57.02327837051406,False
asg-retention-v2-online,heuristic,heuristic,1,0.25,718745000,,,5.787866350374612e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,197137000,0,0,0,0,0,0,0,1736,1021,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
asg-retention-v2-oracle,oracle,oracle,1,0.25,718745000,,,5.787866350374612e-07,331725,577765376,48,1,159,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,197137000,0,0,0,0,0,0,0,1553,1204,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
asg-placement-v2-online,heuristic,heuristic,1,0.25,721083226,,,5.769098281590037e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,166850668,5768446,16271802368,88080384,0,0,0,0,1744,1013,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.25,721103706,,,5.768934433960599e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,146577867,12846754,14763950080,0,12172918784,23019090,24532331,188,1904,853,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
lru-system,none,none,2,0.25,718733000,,,5.787962984863642e-07,330694,37224448,1,1,159,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24290280041759005,0.9996434937611408,196654000,0,0,0,0,0,0,0,1566,1238,"{""agent_role"": 2, ""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 1, ""task_prefix"": 1, ""test_failure_summary"": 1, ""tool_observation"": 1}",1.0,False
kvflow-like,none,none,2,0.25,727206000,,,5.720524858155736e-07,395098,33803468800,1338,1,159,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.09545504496419344,0.5229946524064171,215793000,0,0,0,0,0,0,0,1138,329,"{""agent_role"": 5, ""file_context"": 1, ""system_prefix"": 4, ""task_prefix"": 5, ""test_failure_summary"": 2}",-61.467507274490785,False
asg-retention-v2-online,heuristic,heuristic,2,0.25,718745000,,,5.787866350374612e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,197137000,0,0,0,0,0,0,0,1604,1153,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
asg-retention-v2-oracle,oracle,oracle,2,0.25,718745000,,,5.787866350374612e-07,331725,577765376,48,1,159,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,197137000,0,0,0,0,0,0,0,1598,1159,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
