baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,adaptive_policy_mix_apc,adaptive_policy_mix_pat,adaptive_policy_mix_waferagent,adaptive_wrong_choice_count,adaptive_non_worse_fraction,adaptive_effective_run_policy
apc_like,2.0,100,1.1402445491528908,49951.83320928984,17260.82424587237,29351.981698302065,29358.29083459694,6.911555683145707,10.869016979246226,17.178153274064243,0.1089285264802517,0.1119033535642467,0.111903353564257,24623.104002112013,0.0,0.9107142857142856,765.0,0.7870588235294118,85.0,67779952640.0,123115467283456.0,7.11930145694717,2163200.0,2112000.0,0.8921284608,24.6230934566912,0.01400897536,0.0554856087552,0.2558471650160639,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,209044111360.0,71135395840.0,69357010944.0,76.86282135546207,237.7090835943818,0.0419532880187034,1.2063141912221909,133.80007166415453,595.087475143373,5.95087475143373,0.0003434224354055,0.0,0.0,0.0,0.0,0.0,
ideal_next_use_cache,2.0,100,1.7083648784823988,74840.04859655692,83.8039123355029,112.4689524709626,1516.1519796686655,5.376424631477676,7.507301812752882,17.378153274061333,0.1086135960742834,0.1114396382560685,0.1115926089605775,56.82880129182176,28.23784505916723,0.9107142857142856,765.0,0.9690058479532164,45.0,17548967936.0,209916718592.0,2.6598458218338346,2163200.0,2112000.0,0.8921284608,0.0419833437184,1.7343581257728,0.014227079168,0.026826970094592,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.626144066452976,0.0,cohort_stage,latency_p50_ms,35540854374400.0,153.0,3.875816993464052,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875816993464052,0.0424230433905284,0.0,0.0,0.0,0.0,13193.271705599906,34674445385728.0,12717129728.0,17783848960.0,161.3856665790081,237.35821060836315,0.0237459316849708,10.133352130651474,132.21986591815948,686.7475407198071,6.867475407198072,0.0493908413849967,0.0,0.0,0.0,0.0,0.0,
pat_like_traffic_only,2.0,100,1.194439365217725,52325.99971145809,13120.30572630338,25441.16589271183,26874.89428925446,5.476444475973949,11.069016979243315,17.378153274061333,0.1086135960742905,0.1114396382560685,0.111668737193972,14726.677947758226,0.0,0.9107142857142856,765.0,0.8058823529411765,87.0,58015612928.0,73633352070375.0,3.633367906533845,2163200.0,2112000.0,0.8921284608,14.726670414075,0.01400897536,0.0471641096192,0.156799719598542,21082705965795.0,35540854374400.0,0.4068036253799001,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.3712320625782,0.0,cohort_stage,latency_p50_ms,21082705965795.0,151.0,3.867549668874173,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.867549668874173,0.0257002500130655,0.0,0.0,0.0,0.0,13193.271705599902,218808451072.0,61371056128.0,58955137024.0,77.74632424116135,298.51910285651684,0.0242227688431739,11.2379752099514,144.73744295537472,676.2750390917063,6.762750390917063,0.0004636307112278,0.0,0.0,0.0,0.0,0.0,
waferagent_adaptive,2.0,100,1.708545846722323,74847.97645321151,78.74517553655096,106.26890390958002,1509.9519311072831,5.376444475975404,7.307301812755792,17.178153274064243,0.1088065057547115,0.111744865427367,0.1118241094958065,56.74880032059406,28.15784311671181,0.9107142857142856,765.0,0.9615384615384616,43.0,16475226112.0,209916718592.0,2.6598458218338346,2163200.0,2112000.0,0.8921284608,0.0419833437184,1.3863798754461,0.0133680857088,0.0233385976567329,28443850414394.0,35540854374400.0,0.1996858006069194,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,24.612608075141907,0.0,cohort_stage,latency_p50_ms,28443850414394.0,192.0,2.0,205.0,192.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,27714880379194.0,12717129728.0,16710107136.0,79.12128698080778,239.5466733723879,0.0474825501441955,14.053687453269958,139.2845632508397,617.7499126642942,6.177499126642942,0.0458355833670479,0.0,0.0,1.0,0.0,1.0,per_prefix_mixed
waferagent_latency_safe,2.0,100,1.708545846722323,74847.97645321151,78.74517553655096,106.26890390958002,1509.9519311072831,5.376444475975404,7.307301812755792,17.178153274064243,0.1088065057547115,0.111744865427367,0.1118241094958065,56.74880032059406,28.15784311671181,0.9107142857142856,765.0,0.9615384615384616,43.0,16475226112.0,209916718592.0,2.6598458218338346,2163200.0,2112000.0,0.8921284608,0.0419833437184,1.3863798754461,0.0133680857088,0.0233385976567329,28443850414394.0,35540854374400.0,0.1996858006069194,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,24.612608075141907,0.0,cohort_stage,latency_p50_ms,28443850414394.0,192.0,2.0,205.0,192.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,27714880379194.0,12717129728.0,16710107136.0,78.26061546802521,238.14257699996236,0.0225752592086792,13.776200823485851,132.84710235893726,603.7446465343237,6.037446465343237,0.0447964257239341,0.0,0.0,0.0,0.0,0.0,
apc_like,4.0,100,1.709791218362721,74902.5336940341,17293.24924281144,29351.98169830204,29358.290834596857,6.911555683145707,10.869016979249864,17.178153274060605,0.1089285264802463,0.1119033535642469,0.1119033535642469,24621.167818575992,0.0,0.9107142857142856,765.0,0.7917647058823529,85.0,68081942528.0,123105786829824.0,4.068823602892105,2163200.0,2112000.0,0.8921284608,24.6211573659648,0.01400897536,0.0558077313024,0.255831025334272,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599916,208742121472.0,71437385728.0,69759664128.0,76.993552967906,230.6726975366473,0.0212332233786582,1.2129368260502815,134.98132210224867,579.4246131554246,5.794246131554246,0.0003344342930098,0.0,0.0,0.0,0.0,0.0,
ideal_next_use_cache,4.0,100,3.410444328878946,149404.74515952886,80.87150572792893,767.0707301810787,1515.7218687625495,5.476444475975768,11.069016979250591,17.378153274061333,0.1085772684345517,0.1114396382560685,0.1115926089605776,138.32857228712135,75.49095331685604,0.9107142857142856,765.0,0.957309941520468,61.0,28420603904.0,348429413888.0,2.3975343761893875,2163200.0,2112000.0,0.8921284608,0.0696858827776,1.6957034201088,0.0230317621248,0.026805495258112,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,20.385888084769245,0.0,cohort_stage,latency_p50_ms,35540854374400.0,159.0,3.849056603773585,159.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,3.849056603773585,0.0434499821393471,0.0,0.0,0.0,0.0,13193.271705599906,33896452325376.0,17616076800.0,28789702656.0,78.81708350032568,237.8163281828165,0.022243708372116,10.458992794156076,135.4403141885996,603.5047015175223,6.035047015175223,0.0273646084696991,0.0,0.0,0.0,0.0,0.0,
pat_like_traffic_only,4.0,100,1.8269703860538629,80035.91867224762,7500.664057975364,25447.475029006608,27030.32812429136,5.476444475975768,11.069016979250591,17.378153274061333,0.1086135960742868,0.1114396382560685,0.111668737193972,14720.995152264,0.0,0.9107142857142856,765.0,0.7952941176470588,92.0,64692944896.0,73604938177352.0,3.6667792848749534,2163200.0,2112000.0,0.8921284608,14.7209876354704,0.01400897536,0.0526938800128,0.156798189516432,21223580893103.0,35540854374400.0,0.4028398791563576,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.37216005474329,0.0,cohort_stage,latency_p50_ms,21223580893103.0,151.0,3.8543046357615895,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8543046357615895,0.0470632812330343,0.0,0.0,0.0,0.0,13193.271705599904,212131119104.0,68048388096.0,65867350016.0,77.03188620507717,229.14065793156624,0.0228378921747207,11.49909757077694,145.55906224995852,604.1507562622428,6.041507562622428,0.0004159168960675,0.0,0.0,0.0,0.0,0.0,
waferagent_adaptive,4.0,100,3.411165617135275,149436.34335546213,78.7451755365579,694.7482153892007,1494.3852447835031,5.376444475975404,10.869016979249864,17.178153274060605,0.1088065057547169,0.111744865427367,0.1118241094958065,124.2883854941395,68.34580096934107,0.9107142857142856,765.0,0.9496996996996996,57.0,25132269568.0,279709937152.0,2.986563530698026,2163200.0,2112000.0,0.8921284608,0.0559419874304,1.3706602951428,0.0203474075648,0.0233907815093799,28619085080072.0,35540854374400.0,0.1947552870117195,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,24.23273606598377,0.0,cohort_stage,latency_p50_ms,28619085080072.0,189.0,2.0,244.0,189.0,0.0,0.0,0.0,0.0,55.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,27395623380488.0,17582522368.0,25434259456.0,78.52582447230816,237.13580425828692,0.0290777534246444,14.34037834405899,141.77784975618124,610.8294036239386,6.108294036239386,0.0301382150302469,0.0,0.0,1.0,0.0,1.0,per_prefix_mixed
waferagent_latency_safe,4.0,100,3.411165617135275,149436.34335546213,78.7451755365579,694.7482153892007,1494.3852447835031,5.376444475975404,10.869016979249864,17.178153274060605,0.1088065057547169,0.111744865427367,0.1118241094958065,124.2883854941395,68.34580096934107,0.9107142857142856,765.0,0.9496996996996996,57.0,25132269568.0,279709937152.0,2.986563530698026,2163200.0,2112000.0,0.8921284608,0.0559419874304,1.3706602951428,0.0203474075648,0.0233907815093799,28619085080072.0,35540854374400.0,0.1947552870117195,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,24.23273606598377,0.0,cohort_stage,latency_p50_ms,28619085080072.0,189.0,2.0,244.0,189.0,0.0,0.0,0.0,0.0,55.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,27395623380488.0,17582522368.0,25434259456.0,77.96822302043438,307.0073053240776,0.0220192596316337,13.695620000362396,135.96930727362633,685.3191684931517,6.853191684931517,0.0338135268896004,0.0,0.0,0.0,0.0,0.0,
